Column 0,AFGHANISTAN,ALBANIA,ALGERIA,ANDORRA,ANGOLA,ANGUILLA,ANTIGUA & BARBUDA,ARGENTINA,ARMENIA,ARUBA,AUSTRALIA,AUSTRIA,AZERBAIJAN,BAHAMAS,BAHRAIN,BANGLADESH,BARBADOS,BELARUS,BELGIUM,BELIZE,BENIN,BERMUDA,BHUTAN,BONAIRE SAINT EUSTATIUS AND SABA,BOSNIA & HERZEGOVINA,BOTSWANA,BRAZIL,BRITISH VIRGIN ISLANDS,BRUNEI (DARUSSALAM),BULGARIA,BURKINA FASO,BURUNDI,CAMBODIA,CANADA,CAPE VERDE,CENTRAL AFRICAN REPUBLIC,CHAD,CHILE,CHINA (MAINLAND),COLOMBIA,COMOROS,CONGO,COOK ISLANDS,COSTA RICA,COTE D IVOIRE,CROATIA,CUBA,CURACAO,CYPRUS,CZECHIA,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),DENMARK,DJIBOUTI,DOMINICA,DOMINICAN REPUBLIC,ECUADOR,EGYPT,EL SALVADOR,EQUATORIAL GUINEA,ERITREA,ESTONIA,ETHIOPIA,FAEROE ISLANDS,FEDERATED STATES OF MICRONESIA,FIJI,FINLAND,FRANCE (INCLUDING MONACO),FRENCH POLYNESIA,GABON,GAMBIA,GEORGIA,GERMANY,GHANA,GREECE,GREENLAND,GRENADA,GUATEMALA,GUINEA,GUINEA BISSAU,GUYANA,HAITI,HONDURAS,HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,HUNGARY,ICELAND,INDIA,INDONESIA,IRAQ,IRELAND,ISLAMIC REPUBLIC OF IRAN,ISRAEL,ITALY (INCLUDING SAN MARINO),JAMAICA,JAPAN,JORDAN,KAZAKHSTAN,KENYA,KIRIBATI,KOSOVO,KUWAIT,KYRGYZSTAN,LAO PEOPLE S DEMOCRATIC REPUBLIC,LATVIA,LEBANON,LESOTHO,LIBERIA,LIBYAN ARAB JAMAHIRIYAH,LIECHTENSTEIN,LITHUANIA,LUXEMBOURG,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,MACEDONIA,MADAGASCAR,MALAWI,MALAYSIA,MALDIVES,MALI,MALTA,MARSHALL ISLANDS,MAURITANIA,MAURITIUS,MEXICO,MONGOLIA,MONTENEGRO,MONTSERRAT,MOROCCO,MOZAMBIQUE,MYANMAR (FORMERLY BURMA),NAMIBIA,NAURU,NEPAL,NETHERLANDS,NEW CALEDONIA,NEW ZEALAND,NICARAGUA,NIGER,NIGERIA,NIUE,NORWAY,OCCUPIED PALESTINIAN TERRITORY,OMAN,PAKISTAN,PALAU,PANAMA,PAPUA NEW GUINEA,PARAGUAY,PERU,PHILIPPINES,PLURINATIONAL STATE OF BOLIVIA,POLAND,PORTUGAL,QATAR,REPUBLIC OF CAMEROON,REPUBLIC OF KOREA,REPUBLIC OF MOLDOVA,REPUBLIC OF SOUTH SUDAN,REPUBLIC OF SUDAN,ROMANIA,RUSSIAN FEDERATION,RWANDA,SAINT HELENA,SAINT LUCIA,SAINT MARTIN (DUTCH PORTION),SAMOA,SAO TOME & PRINCIPE,SAUDI ARABIA,SENEGAL,SERBIA,SEYCHELLES,SIERRA LEONE,SINGAPORE,SLOVAKIA,SLOVENIA,SOLOMON ISLANDS,SOMALIA,SOUTH AFRICA,SPAIN,SRI LANKA,ST  KITTS-NEVIS,ST  PIERRE & MIQUELON,ST  VINCENT & THE GRENADINES,SURINAME,ESWATINI,SWEDEN,SWITZERLAND,SYRIAN ARAB REPUBLIC,TAIWAN,TAJIKISTAN,THAILAND,TIMOR-LESTE (FORMERLY EAST TIMOR),TOGO,TONGA,TRINIDAD AND TOBAGO,TUNISIA,TÜRKIYE,TURKMENISTAN,TURKS AND CAICOS ISLANDS,TUVALU,UGANDA,UKRAINE,UNITED ARAB EMIRATES,UNITED KINGDOM,UNITED REPUBLIC OF TANZANIA,UNITED STATES OF AMERICA,URUGUAY,UZBEKISTAN,VANUATU,VENEZUELA,VIET NAM,WALLIS AND FUTUNA ISLANDS,YEMEN,ZAMBIA,ZIMBABWE,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World
,Afghanistan,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bonaire Saint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei Darussalam,Bulgaria,Burkina Faso,Burundi,Cambodia,Canada,Cape Verde,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Côte d'Ivoire,Croatia,Cuba,Curaçao,Cyprus,Czechia,North Korea,Democratic Republic of the Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Faeroe Islands,Micronesia (Federated States of),Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iraq,Ireland,Iran,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,North Macedonia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norway,State of Palestine,Oman,Pakistan,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Bolivia,Poland,Portugal,Qatar,Cameroon,South Korea,Moldova,South Sudan,Sudan,Romania,Russia,Rwanda,Saint Helena,Saint Lucia,Sint Maarten (Dutch part),Samoa,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,Spain,Sri Lanka,Saint Kitts and Nevis,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Suriname,Eswatini,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Türkiye,Turkmenistan,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,Tanzania,USA,Uruguay,Uzbekistan,Vanuatu,Venezuela,Viet Nam,Wallis and Futuna Islands,Yemen,Zambia,Zimbabwe,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World
1990,,-0.0097322527685,,,,,,-0.23356272578,0.80067465045,,9.5076745527,-7.4336797334,6.3140252685,,0.15910348454,-1.1475682018,,12.720311428,-9.4624391048,,-0.096138506731,,,,,0,-7.3114126155,,0.40307272315,4.1791573761,-0.061063685529,,-0.16208641519,-6.7621353222,,,,0.22285362625,44.898771221,-1.3997590641,,,,-0.61408207589,-0.32114501272,0.53890620958,,,-0.5859674585,3.5195960678,,,-2.3336773627,,,-0.1198946053,0.073268111004,-1.4157553064,-0.44537650376,,,1.5169123796,-0.25868101879,,,,-6.490663057,-27.196833849,,,,1.651698073,-38.260161334,-0.29365339965,-3.5594689255,,,-0.49785362813,0,,,,-0.22508352462,-16.086119863,-5.0290420758,,0.69923467514,2.2888059379,,-1.8019862037,2.1547918856,-3.7085519315,-35.017339145,0.017234184357,-43.7375763,-1.5588784988,-3.1472163009,-0.64398508495,,,-0.34281583286,-0.21714106051,-0.079379186823,-0.51895319743,,,,,,-2.0424113249,0,,,-0.12483608011,-0.21700038391,-3.2170143688,,,-0.26423016592,,,-0.33499244518,-1.1944872343,0.23932735068,,,-2.2469497591,-0.81694867617,,0,,-0.11818713365,-10.762122891,,-0.37943087135,-0.17585818019,,0.26828765132,,,,-0.36420418505,-1.2377405118,,-0.089285517643,,-0.44709795345,-0.67914346783,-5.8467140061,0.37246981502,14.76101576,-1.8164409598,0.198260853,-0.12291787297,-19.127585149,,,,3.6127546825,134.78092608,0,,,,,,4.2940383968,-0.072126033513,,,,-7.648843678,-3.1770851208,-0.37594389518,,,25.584532325,-9.3923329808,-0.68563898011,,,,,,-7.6725217109,-11.387634134,,-13.920637553,1.8534751762,-8.7985147253,,-0.084177161443,,1.4209138041,-0.6272311677,-17.401825648,,,,-0.21079372382,55.552686586,-1.122988232,-18.466449374,-0.41865923464,19.903699942,-0.25358564467,,,7.5064462616,-0.49839795539,,,-0.089952231393,-0.66808941812,-5.2029992352,-15.967961337,-242.51566199,221.34470141,-145.06495802,16.727723774,-66.527276314,-0.72928604703,28.125150315,-17.693069708,11.947077385,9.1282436813,-2.1495236574,0,0,0
1991,,-0.088313046572,,,,,,-1.0052665985,0.74759283171,,9.7152529917,-6.9108619754,7.7479720766,,-0.05098704843,-1.262867649,,10.126281602,-8.8227897073,,-0.10069521493,,,,,0,-6.1525324091,,0.64128513569,4.5728519343,-0.063064434861,,-0.17006652794,-8.8142691131,,,,-0.0073900345229,56.281975189,-1.0568555985,,,,-0.53269915493,-0.34713170118,0.36465531415,,,-0.48109931243,4.9940712051,,,-0.45120936274,,,-0.11112838691,0.12760071671,0.26660664225,-0.41952445405,,,1.0581769352,-0.28005689255,,,,-5.2855229283,-23.622354963,,,,1.2342573582,-34.78472671,-0.29719806456,-3.2762281886,,,-0.50604749198,0,,,,-0.23901003364,-17.336735394,-3.8099380449,,5.0707580711,3.9655769593,,-2.0741442404,2.3837607284,-3.7734615554,-33.545204,0.084717776754,-45.614327501,-1.252373428,14.644631374,-0.67945225511,,,-2.0985902834,-0.49547917073,-0.08690466139,-0.52800062208,,,,,,-2.1954030751,0,,,-0.11975146246,-0.20709678966,-1.9395857107,,,-0.26698689877,,,-0.35303277735,-2.3442168787,0.87610229424,,,-1.9548826064,-0.75982301,,0,,-0.1359000143,-10.569073341,,-0.22991590016,-0.18146852652,,0.5581185779,,,,-0.49418394833,-0.85008621983,,0.0084388239034,,-0.46902393648,-0.79855750987,-5.3256691237,0.36638327697,9.980396819,-1.9444864514,0.43596753568,-0.11929883852,-18.105446927,,,,3.3374075107,89.669036101,0,,,,,,7.3901240736,-0.071731428889,,,,-8.1932303942,-1.0986433683,-0.44407403729,,,23.200093751,-8.2964390057,-0.77840073566,,,,,,-7.3608826672,-11.475888365,,-11.336612782,1.4181525765,-7.0290918448,,-0.091419481306,,1.2353682783,-0.25654674587,-15.149188306,,,,-0.21242580386,47.955151817,-1.2332359716,-18.381971431,-0.43171330004,27.752622959,-0.24581285746,,,4.70667358,-0.43403011224,,,-0.15120360097,-0.53229011085,-40.136731412,24.051563774,-222.69213409,206.60696646,-131.46050918,16.996004452,-26.466130902,-0.66135316907,-13.656212505,-13.842168203,16.594136968,9.4853370916,-4.5347813708,0,0,0
1992,,-0.10881754721,,,,,,-1.9437965612,0.57426788002,,10.369119122,-8.9687540385,11.711407506,,-0.18980131504,-1.4514549353,,13.139250067,-13.625715398,,-0.10025349938,,,,,0,-5.5312169792,,0.47148863706,4.1268895781,-0.064670107805,,-0.1842587642,-8.6099498814,,,,-0.35171875216,42.247338075,-1.6114885509,,,,-0.54569318314,-0.53917153727,-0.49781366991,,,-0.7691326592,-0.69539371892,,,-3.0211470601,,,-0.12579388542,0.57279803003,-1.4323833065,-0.46229372036,,,0.11017434163,-0.30883581606,,,,-13.481369536,-37.723944874,,,,1.5994869974,-64.946336167,-0.31597040686,-5.3670126088,,,-0.59447911061,0,,,,-0.27925726005,-18.313874288,-8.9782474227,,2.425225934,4.0413642083,,-2.5921859103,2.1699191849,-4.319795862,-47.212540366,0.16110387997,-66.68548356,-1.3945435563,29.415568636,-0.79167405088,,,-1.0977175891,-1.8806499689,-0.089579129782,-1.1468731834,,,,,,-8.5486442673,0,,,-0.12652966949,-0.20195031004,-2.3352666174,,,-0.32156503978,,,-0.38432896316,-3.6988071071,0.4808294515,,,-3.0411799845,-0.69270093022,,0,,-0.13550405606,-18.326337229,,-0.046836753593,-0.21998998873,,0.64458120779,,,,-0.5013263621,-1.5155119648,,0.14117132016,,-0.48388356231,-0.85016940527,-7.7672142026,0.31962234746,4.6398614479,-2.4943460433,1.0429724142,-0.15667973099,-26.00962538,,,,3.186843757,324.77232564,0,,,,,,8.249384032,-0.089230945021,,,,-10.062518415,-1.95446476,-1.5992406846,,,19.952424493,-11.943375395,-0.77908007193,,,,,,-9.8562900035,-13.537279462,,-21.133085713,0.62870698995,-13.567480889,,-0.1043035843,,1.3897316344,-1.6514908276,-23.315725495,,,,-0.2219221074,40.51039923,-1.6031029263,-26.970987966,-0.42942669202,7.0965274645,-0.26825858348,,,2.849890415,-0.42149163063,,,-0.15441889566,-0.25660527762,15.981570618,-23.07016433,-404.11722906,397.02863535,-252.00696091,9.5332790582,-78.736395271,-0.53550031374,85.797929047,-20.959737475,-5.212229524,10.322282369,-7.2982216019,0,0,0
1993,,-0.091383740073,,,,,,-1.6301762962,0.19176237977,,11.304818179,-7.7503404136,6.6560748817,,0.33670926994,-1.3482625974,,11.55294178,-11.281790846,,-0.095881966272,,,,,0,-4.9624055325,,0.26692219011,3.5222452451,-0.063920358896,,-0.16334340302,-4.9477814565,,,,-0.40317548816,44.90693621,-1.5937535376,,,,-0.51214430541,-0.40301328513,-0.38133125829,,,-0.49745489388,2.1092104016,,,-1.7698072227,,,-0.072826540758,0.40673939536,0.11281869452,-0.39950879855,,,0.40921855579,-0.29473852219,,,,-7.8666880742,-31.689172689,,,,0.5033974611,-54.87317645,-0.30821790627,-4.1333533889,,,-0.54934318635,0,,,,-0.24107923873,-16.693935854,-6.4734338883,,6.922027927,5.7172624513,,-1.8639458941,6.2277786553,-3.7847867222,-34.874048291,0.053327323169,-60.73534329,-1.2686537353,11.859590954,-0.65605491517,,,0.27637467236,-1.3098062475,-0.092673144712,-0.73981208533,,,,,,-4.392133621,0,,,-0.13774111714,-0.22083494001,-0.14338529113,,,-0.23119702078,,,-0.38538593531,-3.9239603297,0.85571134545,,,-2.282533003,-0.75683600385,,0,,-0.1405447246,-13.242658018,,-0.16240867072,-0.20252319323,,0.27291094774,,,,-0.58701174917,-1.4163497521,,0.085354943477,,-0.4352815313,-0.73060597137,-6.4007378554,0.32793442462,7.6561337506,-2.4641618733,1.078136316,-0.16101136164,-20.082254068,,,,2.9322253582,205.58073186,0,,,,,,7.6797058414,-0.087941431629,,,,-9.6101717641,-1.4432578426,-1.1109957002,,,22.143859608,-8.7230589367,-0.82187490641,,,,,,-8.0617328944,-11.907635253,,-14.972373595,0.53031890612,-8.7464056456,,-0.10722687512,,1.2385122093,-0.81291037126,-16.41539421,,,,-0.26914195383,37.380891673,-1.0063017206,-21.211670336,-0.43459718163,17.840667543,-0.323979494,,,4.1114742668,-0.57744139055,,,-0.19169583718,-0.20295152155,-13.363595833,4.0594410915,-301.87598382,292.57182908,-187.23451799,14.656954763,-64.844898824,-0.60023078709,34.069357988,-7.4634433828,8.9689257567,11.142409509,-5.2332297643,0,0,0
1994,,-0.12245527967,,,,,,-1.5524986985,0.24587752554,,10.285615438,-7.5914281535,6.2815438552,,0.056631252336,-1.5489607465,,10.260826259,-10.337387478,,-0.11682062078,,,,,0,-5.9664788901,,0.077465553459,4.0322692433,-0.067589672156,,-0.17430209331,-2.4234213515,,,,-0.07067668618,96.520209942,-1.5474815641,,,,-0.45802151701,-0.35944110784,-0.48833509713,,,-0.43167325859,1.9704404927,,,-1.1296090056,,,-0.089736511646,-0.21524309627,-0.56150322766,-0.42091456529,,,0.93162490394,-0.3181093339,,,,-4.5306099448,-30.234283192,,,,0.3135219832,-52.345958141,-0.31795402652,-3.5230686143,,,-0.51366104785,0,,,,-0.21555135387,-24.712104681,-4.8661439824,,8.3698956631,5.3800515551,,-1.726943658,8.1940384948,-3.6980625914,-32.037567748,0.15901692298,-65.824707638,-1.2885916588,8.9408965368,-0.69102539125,,,0.82193866271,-1.2476255352,-0.11172897234,-0.92199830244,,,,,,-3.5279692415,0,,,-0.13774411693,-0.22288994219,0.17445407992,,,-0.27835789418,,,-0.42393507397,-3.4956790075,0.55369983322,,,-2.0847738739,-0.77612907093,,0,,-0.13972736931,-12.041145944,,-0.32913384044,-0.19470462242,,0.55693423764,,,,-0.45411424026,-1.3664738458,,0.1497270022,,-0.46111398176,-0.80819978891,-5.7888137348,0.29344969143,9.8684439668,-2.5034773942,1.0987400484,-0.072465985243,-19.078621035,,,,4.5184522673,128.60930186,0,,,,,,7.4187617862,-0.050521574102,,,,-8.6251140036,-0.29839639592,-0.76160069457,,,22.266011061,-6.3634437232,-0.89584354554,,,,,,-7.1828453056,-11.986170082,,-13.314103597,0.1975736119,-6.3841588445,,-0.13265412956,,1.1387646965,-0.36949582094,-11.652397256,,,,-0.27718789704,39.644959883,-1.2153844854,-20.672135126,-0.47038492897,14.116823495,-0.36751330971,,,4.9600898065,-0.50257716062,,,-0.22222063588,0.0025777372808,-69.669848507,57.351184897,-279.53196569,267.21330208,-161.8010123,15.152676607,-22.659672664,-0.44508099644,-16.066684785,-0.71843998786,8.1977231362,9.956481598,-5.7356665177,0,0,0
1995,,-0.12478479721,,,,,,-0.85022647392,0.1854599386,,11.847840101,-7.9054444646,2.7580478084,,0.12566279621,-1.4561858733,,7.0942057208,-11.101600515,,-0.12902189291,,,,,0,-8.2034874702,,0.15155125568,3.0973773754,-0.077266080526,,-0.13889098386,-1.1469708928,,,,0.036409351614,100.35034506,-2.0436400002,,,,-0.52953259949,-0.32030125968,-0.78644770632,,,-0.53216399208,2.1874050749,,,-1.7736987004,,,0.048286589945,0.30387833549,-0.25530392119,-0.44578277226,,,0.65162812005,-0.32629607719,,,,-4.6824524574,-31.554130904,,,,0.0035584780933,-54.618192932,-0.34050750622,-3.7183949617,,,-0.57276788465,0,,,,-0.17065998372,-26.140689881,-4.0233553725,,11.264377469,4.8849073488,,-1.7246218097,5.986921788,-4.0008542206,-31.079519675,0.12795649994,-71.053209108,-1.4319939128,10.547364325,-0.76172493401,,,0.84842128882,-1.7176191575,-0.1303959744,-0.97146512576,,,,,,-3.5302994003,0,,,-0.13802401252,-0.23774386385,3.236217855,,,-0.34786540434,,,-0.44017227488,2.3004226172,0.51586099451,,,-2.1339529774,-0.84407432899,,0,,-0.13115435754,-12.55720427,,-0.63502607224,-0.18548681756,,2.0560250971,,,,-0.34281238198,-1.4023734275,,0.020834836911,,-0.45229847357,-0.91161118194,-5.6908161715,0.25934243198,11.255186295,-2.482715208,1.0300417122,-0.065684395882,-18.548983282,,,,5.5135488789,123.1213998,0,,,,,,5.1389152032,-0.089422612901,,,,-13.502741954,-0.65386569498,-0.94901803313,,,24.796554649,-5.8891398702,-0.95184309606,,,,,,-7.072708969,-12.85303664,,-12.858607859,0.44577758307,-4.9551229539,,-0.14411483712,,1.2478211892,-0.44177767638,-11.590708823,,,,-0.28370199843,46.614972624,-1.8363494204,-21.335574609,-0.46197637572,14.413140961,-0.39722955848,,,4.0609765292,-0.52424260728,,,-0.28350410493,-0.25147003912,-75.39559416,58.680179835,-280.25839497,263.54298064,-165.24915972,18.826538576,-24.85940857,-0.45933094164,-22.731977621,-6.0727559707,15.566592685,11.212814028,-8.1978865101,0,0,0
1996,,-0.27526512847,,,,,,-0.86813394783,-0.078702373437,,11.986839219,-9.1771933807,0.80168619825,,0.33461546171,-1.5603673165,,3.7180434497,-9.8494838163,,-0.14112099169,,,,,0,-8.9176155104,,-0.027314991851,2.6190188498,-0.064188857929,,-0.19424831719,0.7060821273,,,,-0.032020352541,104.66847306,-1.7892882144,,,,-0.52181133874,0.08141688191,-0.66852367067,,,-0.77143654399,3.4382397596,,,0.50777343231,,,0.039411203093,0.57376119858,-0.96481493137,-0.46339603585,,,0.62431852093,-0.31947924161,,,,-2.9315157439,-27.757792083,,,,-1.0193453788,-44.827864112,-0.59882814796,-2.6853520684,,,-0.61273286179,0,,,,-0.24651496582,-25.637522471,-1.9954840006,,15.091328272,6.5144443147,,-3.4232698934,3.4456642665,-4.0081676404,-23.872355047,0.65462800682,-65.835883986,-0.32593624805,10.841288727,-0.051112971444,,,1.8394829575,-0.858720344,-0.12461411256,-1.3767608976,,,,,,-1.9095374624,0,,,-0.049463168181,-0.30340244936,2.6760265728,,,-0.36096267171,,,-0.55461775182,0.81683808673,0.12307469809,,,-1.1039334883,-0.48375080326,,0,,-0.12703290664,-9.4398932622,,-0.74934006844,-0.15840146877,,2.4871134968,,,,-0.30481843267,-1.5015664148,,0.070136793888,,-0.4218319464,-0.86872071378,-5.1554946806,0.29443971394,13.134976787,-2.4609234121,1.0698902683,-0.037336161525,-19.059242197,,,,7.5242065874,90.884379266,0,,,,,,4.7538124233,-0.26802413757,,,,-14.674422598,-1.1560250932,-0.61826755397,,,27.091903646,-5.0893466787,-0.87740527554,,,,,,-7.5001451174,-17.499659551,,-6.4724440147,-0.36015546787,-2.4795439221,,-0.11436199745,,1.4934683219,-0.1591938896,-3.0068285675,,,,-0.19149757125,17.376345034,-1.6459068469,-23.497581627,-0.36313307528,19.811736607,-0.51916153553,,,6.0167058058,-0.71908781321,,,-0.3528422115,-0.44512704475,-95.708282335,81.885243364,-235.44683071,221.62379174,-130.02359857,23.094205133,-6.0467927421,0.25478765475,-59.317337128,2.1518076419,21.334656821,11.237499151,-6.5318655025,0,0,0
1997,,-0.18475324716,,,,,,-1.9340612388,-0.22528284859,,12.196179807,-7.595804741,1.1520642361,,0.84223595666,-1.6349878995,,4.4503227298,-12.724633063,,-0.18534722349,,,,,0,-9.7130368038,,0.45157998112,2.5153941666,-0.076208332276,,-0.19972525202,-4.1263875005,,,,0.24619485186,124.73659171,-1.9238500127,,,,-0.59323589187,0.093862081657,-0.65297015576,,,-0.52135003948,3.3301279236,,,-0.53958317704,,,-0.10970950375,-0.1112525974,-0.37177979932,-0.49795273167,,,0.7441528262,-0.38847826194,,,,-2.9484898656,-25.798498759,,,,-0.68758319928,-40.057688499,-0.85432942459,-1.7314825722,,,-0.73715925734,0,,,,-0.37666054184,-29.18513586,-2.2396087529,,14.722167266,9.0168417034,,-2.8171592156,0.29630180591,-3.9064030002,-23.544850945,0.57945830842,-61.162032592,-0.96378358549,10.627167574,-0.31872333575,,,2.0196867554,0.064022299219,-0.10943811666,-1.3578334699,,,,,,-1.7807097786,0,,,-0.069394091077,-0.29363040397,1.9009799396,,,-0.29250463595,,,-0.53598601941,-3.3661689348,0.42013909772,,,-0.62800141635,-0.19380598439,,0,,-0.11499957307,-9.8383034751,,-0.69771149603,-0.18267994269,,1.6007648939,,,,-0.3323073106,-1.0957356175,,0.085270596883,,-0.46553442892,-0.94234410484,-5.0574355712,0.21314583969,12.293307825,-4.4113944181,1.9786174157,-0.18536381682,-14.4428527,,,,7.598647582,83.03267552,0,,,,,,3.3273101135,-0.29750706611,,,,-15.097451676,-0.85891428329,-0.63012341784,,,29.100727007,-3.2385570573,-0.76150615167,,,,,,-7.5912170695,-14.544444351,,-7.904519994,-0.25945055216,2.0724206399,,-0.134188448,,1.3823135843,0.0036514640347,-3.4495542014,,,,-0.21372554784,17.362200604,-2.0484360658,-29.86438931,-0.39181009639,11.500040586,-0.679124598,,,3.7184516932,-0.026453909392,,,-0.46944611143,-0.28754099341,-110.18006113,99.072601574,-241.81624958,230.70879003,-124.69004707,24.903739074,27.199382931,-0.45035537954,-64.438435123,-2.2363321164,4.0074841508,11.498468311,-11.5914114,0,0,0
1998,,-0.21324035729,,,,,,-2.3046097044,-0.1674685357,,10.523923018,-8.6090140758,0.4327008057,,0.62419604483,-1.620251236,,-3.1018599099,-13.767661887,,-0.24243317135,,,,,0,-8.7489492968,,0.043477895871,1.9685924883,-0.24399057841,,-0.24119859367,-3.0407246428,,,,0.32503474936,110.4835831,-1.8507959666,,,,-0.79018558153,-0.53258184837,-0.39956135001,,,-0.90694028612,3.0644076084,,,-1.2042166408,,,-0.48685500519,-0.45876044879,-1.2774434602,-0.66427395092,,,-0.029357013436,-0.55103928609,,,,-3.3226408943,-26.182429049,,,,-0.70492848189,-42.856857854,-0.72760108196,-2.3959440842,,,-0.94801109005,0,,,,-0.39896844707,-20.989842955,-2.6983595451,,15.303431974,24.773087856,,-2.2800856298,-0.64296153603,-4.0126684359,-22.856752018,-0.073406993853,-46.149854877,-1.0521532123,8.4504417082,-0.83222437167,,,-0.42265565656,-1.3434457602,-0.11800284785,-1.4016112169,,,,,,-1.6975390537,0,,,-0.16203012224,-0.28307480974,8.3144768739,,,-0.61078542868,,,-0.42874126431,-4.8033701557,0.33380262947,,,-1.1149885706,-0.45391729455,,0,,-0.51437603154,-10.978955799,,-0.45099703404,-0.22245658723,,0.081150293343,,,,-0.48313301304,-0.086939368301,,0.13686213251,,-0.36397878689,-1.0987197974,-3.2607965846,0.098417889203,11.555377243,-5.942237284,1.4416005305,-0.1951891479,4.7153486574,,,,4.5480133836,111.83237314,0,,,,,,-2.5215980631,-0.2731004284,,,,-13.368790804,-1.2738615298,-0.81205615155,,,29.435469254,-4.6876138648,-0.91383177347,,,,,,-7.9081417266,-19.726480195,,-4.7934274359,-0.35535757788,8.082699398,,-0.16798201003,,1.2556967251,0.18636298306,-4.0277325381,,,,-0.36128488793,23.094151831,-3.4446664526,-34.785180749,-0.46858251003,-21.384525792,-0.78133634955,,,3.2242455549,0.16208807819,,,-0.42898357833,0.15684101078,-120.25582124,115.40209668,-266.00362819,261.14990363,-141.68623166,21.114635119,86.466626112,-2.1915987982,-64.586467897,-14.541772332,-29.228620591,10.072925984,-11.959452157,0,0,0
