Year,fossil emissions excluding carbonation,land-use change emissions,atmospheric growth,ocean sink,land sink,cement carbonation sink,budget imbalance
1750,0.0025398299672,,,,0.0623525806934387,,
1751,0.0025674751638,,-7.4340000000006498E-2,,-0.41839893955559598,,
1752,0.0025942052402,,-7.0729200000073406E-2,,-0.27456303097059598,,
1753,0.0026229503275,,-6.7755599999941296E-2,,-0.17896830960645199,,
1754,0.0026565447598,,-6.4144800000008204E-2,,-6.7778281756383396E-2,,
1755,0.002672889738,,-5.8409999999980797E-2,,-0.0378508097116588,,
1756,0.0027046708515,,-5.0338799999963199E-2,,0.43623780219020503,,
1757,0.0027548951965,,-4.0568399999983698E-2,,0.62988451519961797,,
1758,0.0027883073144,,-0.0282492000000047,,0.10009643388291101,,
1759,0.0028217396288,,-1.4443200000073399E-2,,-0.53027816957233898,,
1760,0.0028696318231,,1.9116000000849499E-3,,-2.5867218462054298E-2,,
1761,0.0029333747271,,2.0177999999987199E-2,,-0.73210337164992001,,
1762,0.0029891370087,,4.0568399999983698E-2,,-0.57899259722042296,,
1763,0.0030544737991,,6.2870399999951601E-2,,0.44368481800295101,,
1764,0.0031105300218,,8.7508800000023299E-2,,0.29255823355475302,,
1765,0.0031778073144,,0.11257200000000001,,-0.27654182220151202,,
1766,0.0032412882096,,0.135723600000006,,0.30814482566642398,,
1767,0.0033167328057,,0.15611399999988901,,0.31476301429124898,,
1768,0.0034025480349,,0.17480520000003699,,0.377013173905416,,
1769,0.0034880114629,,0.19115999999996799,,-0.0130614998662365,,
1770,0.0035745676856,,0.20496600000012699,,9.9768021417537406E-2,,
1771,0.0036488777293,,0.21664799999996401,,-0.32294659700000999,,
1772,0.003718206059,,0.226418400000057,,-0.12136184355721299,,
1773,0.0037685966157,,0.23363999999992299,,-0.11139742159926699,,
1774,0.0038243490721,,0.23873760000003599,,0.17030811855577699,,
1775,0.0039134606987,,0.242985599999997,,0.0175874154433605,,
1776,0.0039994879913,,0.24893280000003401,,0.45091481095827302,,
1777,0.0040828430677,,0.257003999999938,,0.78729254097095103,,
1778,0.0041603392467,,0.266562000000022,,0.20920313942429,,
1779,0.0042399658843,,0.27824400000008598,,-0.2477316672355,,
1780,0.0043337134279,,0.292049999999904,,0.33676919030595898,,
1781,0.0044307813865,,0.315414000000033,7.4329999999999993E-2,-0.58325288879367398,,
1782,0.0045253695415,,0.34897319999993198,8.2155000000000006E-2,-0.37829091667204601,,
1783,0.0046568643559,,0.379558800000041,8.9520000000000002E-2,0.73749004062817003,,
1784,0.0047683114083,,0.406745999999998,0.10206999999999999,0.65470534641201195,,
1785,0.0049031460153,,0.43032240000002298,0.10420500000000001,-0.122695997932819,,
1786,0.0050347972162,,0.45028800000000002,0.11673,0.56315628759882097,,
1787,0.0051471424672,,0.46664279999993102,0.12393,0.52488562718490095,,
1788,0.0052637087882,,0.47959920000005202,0.131105,0.60772731386754297,,
1789,0.0054212404476,,0.488944800000013,0.13300999999999999,0.13726883704783199,,
1790,0.005567165393,,0.49446720000003103,0.14019000000000001,0.54779836265438697,,
1791,0.0057128135917,,0.496803600000021,0.147095,-7.1528956997193902E-2,,
1792,0.005985047762,,0.49531679999984102,0.14901,3.6943633476782603E-2,,
1793,0.0060854969978,,0.49021920000007002,0.15568000000000001,0.112543147611096,,
1794,0.0061461943231,,0.48172320000003299,0.15748999999999999,0.38857468569930897,,
1795,0.0060904055677,,0.46982879999995902,0.16380500000000001,0.30731261357096901,,
1796,0.0060374931769,,0.455598000000009,0.164995,0.76930613830731398,,
1797,0.0060289514192,,0.440092800000002,0.1658,1.05690839268256,,
1798,0.0063062033297,,0.42288839999992001,0.16672999999999999,0.48245922892270199,,
1799,0.0075014211245,,0.40271040000016001,0.16723499999999999,-3.5725665796596501E-2,,
1800,0.0089515152838,,0.38125799999988902,0.17277000000000001,0.52116062180105205,,
