Year,AFGHANISTAN,ALBANIA,ALGERIA,ANDORRA,ANGOLA,ANGUILLA,ANTIGUA & BARBUDA,ARGENTINA,ARMENIA,ARUBA,AUSTRALIA,AUSTRIA,AZERBAIJAN,BAHAMAS,BAHRAIN,BANGLADESH,BARBADOS,BELARUS,BELGIUM,BELIZE,BENIN,BERMUDA,BHUTAN,BONAIRE SAINT EUSTATIUS AND SABA,BOSNIA & HERZEGOVINA,BOTSWANA,BRAZIL,BRITISH VIRGIN ISLANDS,BRUNEI (DARUSSALAM),BULGARIA,BURKINA FASO,BURUNDI,CAMBODIA,CANADA,CAPE VERDE,CENTRAL AFRICAN REPUBLIC,CHAD,CHILE,CHINA (MAINLAND),COLOMBIA,COMOROS,CONGO,COOK ISLANDS,COSTA RICA,COTE D IVOIRE,CROATIA,CUBA,CURACAO,CYPRUS,CZECHIA,DEMOCRATIC PEOPLE S REPUBLIC OF KOREA,DEMOCRATIC REPUBLIC OF THE CONGO (FORMERLY ZAIRE),DENMARK,DJIBOUTI,DOMINICA,DOMINICAN REPUBLIC,ECUADOR,EGYPT,EL SALVADOR,EQUATORIAL GUINEA,ERITREA,ESTONIA,ETHIOPIA,FAEROE ISLANDS,FEDERATED STATES OF MICRONESIA,FIJI,FINLAND,FRANCE (INCLUDING MONACO),FRENCH POLYNESIA,GABON,GAMBIA,GEORGIA,GERMANY,GHANA,GREECE,GREENLAND,GRENADA,GUATEMALA,GUINEA,GUINEA BISSAU,GUYANA,HAITI,HONDURAS,HONG KONG SPECIAL ADMINSTRATIVE REGION OF CHINA,HUNGARY,ICELAND,INDIA,INDONESIA,IRAQ,IRELAND,ISLAMIC REPUBLIC OF IRAN,ISRAEL,ITALY (INCLUDING SAN MARINO),JAMAICA,JAPAN,JORDAN,KAZAKHSTAN,KENYA,KIRIBATI,KOSOVO,KUWAIT,KYRGYZSTAN,LAO PEOPLE S DEMOCRATIC REPUBLIC,LATVIA,LEBANON,LESOTHO,LIBERIA,LIBYAN ARAB JAMAHIRIYAH,LIECHTENSTEIN,LITHUANIA,LUXEMBOURG,MACAU SPECIAL ADMINSTRATIVE REGION OF CHINA,MACEDONIA,MADAGASCAR,MALAWI,MALAYSIA,MALDIVES,MALI,MALTA,MARSHALL ISLANDS,MAURITANIA,MAURITIUS,MEXICO,MONGOLIA,MONTENEGRO,MONTSERRAT,MOROCCO,MOZAMBIQUE,MYANMAR (FORMERLY BURMA),NAMIBIA,NAURU,NEPAL,NETHERLANDS,NEW CALEDONIA,NEW ZEALAND,NICARAGUA,NIGER,NIGERIA,NIUE,NORWAY,OCCUPIED PALESTINIAN TERRITORY,OMAN,PAKISTAN,PALAU,PANAMA,PAPUA NEW GUINEA,PARAGUAY,PERU,PHILIPPINES,PLURINATIONAL STATE OF BOLIVIA,POLAND,PORTUGAL,QATAR,REPUBLIC OF CAMEROON,REPUBLIC OF KOREA,REPUBLIC OF MOLDOVA,REPUBLIC OF SOUTH SUDAN,REPUBLIC OF SUDAN,ROMANIA,RUSSIAN FEDERATION,RWANDA,SAINT HELENA,SAINT LUCIA,SAINT MARTIN (DUTCH PORTION),SAMOA,SAO TOME & PRINCIPE,SAUDI ARABIA,SENEGAL,SERBIA,SEYCHELLES,SIERRA LEONE,SINGAPORE,SLOVAKIA,SLOVENIA,SOLOMON ISLANDS,SOMALIA,SOUTH AFRICA,SPAIN,SRI LANKA,ST  KITTS-NEVIS,ST  PIERRE & MIQUELON,ST  VINCENT & THE GRENADINES,SURINAME,ESWATINI,SWEDEN,SWITZERLAND,SYRIAN ARAB REPUBLIC,TAIWAN,TAJIKISTAN,THAILAND,TIMOR-LESTE (FORMERLY EAST TIMOR),TOGO,TONGA,TRINIDAD AND TOBAGO,TUNISIA,TÜRKIYE,TURKMENISTAN,TURKS AND CAICOS ISLANDS,TUVALU,UGANDA,UKRAINE,UNITED ARAB EMIRATES,UNITED KINGDOM,UNITED REPUBLIC OF TANZANIA,UNITED STATES OF AMERICA,URUGUAY,UZBEKISTAN,VANUATU,VENEZUELA,VIET NAM,WALLIS AND FUTUNA ISLANDS,YEMEN,ZAMBIA,ZIMBABWE,KP Annex B,Non KP Annex B,OECD,Non-OECD,EU27,Africa,Asia,Central America,Europe,Middle East,North America,Oceania,South America,Bunkers,Statistical Difference,World
1850,,,,,,,,,6.8425626641e-05,0,0.030582000943,0.635,0,,,0,,0.00086441504412,2.547,,0,,,0,0,,,,,,0,0,,0.016,,0,0,,,,,0,,,0,0,,0,,0,0,,0.093,,,,,,,,,0.00031336548385,,,,,,5.354,,0,,0.00012727481748,4.132,,,,,,0,,,,,,0,,,,,0.108,,,,,,,0.002058703823,,,,,0.00017781447854,,0.00020535800975,,,,,,0.00032135316229,,,0,,,,,,,,,,,,0,,,,,,,,0.856,,,,0,,,0.038,,,0,,,,,,,,0.874,,,,0,0.00031966443496,0,0,,0.018948527401,0,,,0,,,,0,0,,,,0,0,,,,0.135,,,,,,,0.055,,,,0.00010135780122,,,,,,,,0.00025950269966,,,,0.0060180270121,,33.392508953,,5.402,,0.00080604372344,,,0,,,,,53.693897585,0.0047832024491,53.668404319,0.030276468034,14.789840077,0,0.00359912297,0,48.246499664,0,5.418,0.030582000943,0,0,7.1054273576e-15,53.698680787
1851,,,,,,,,,0,0,0.029033490842,0.637,0,,,0,,0,2.775,,0,,,0,0,,,,,,0,0,,0.019,,0,0,,,,,0,,,0,0,,0,,0,0,,0.085,,,,,,,,,0,,,,,,5.469,,0,,0,4.604,,,,,,0,,,,,,0.075,,,,,,,,,,,,0,,,,,0,,0,,,,,,0,,,0,,,,,,,,,,,,0,,,,,,,,0.851,,,,0,,,0.041,,,0,,,,,,,,0.944,,,,0,0,0,0,,0,0,,,0,,,,0,0,,,,0,0,,,,0.139,,,,,,,0.059,,,,0,,,,,,,,0,,,,0,,31.771609183,,6.723,,0,,,0,,,,,54.221642674,0,54.221642674,0,15.638,0,0,0,47.450609183,0,6.742,0.029033490842,0,0,-7.1054273576e-15,54.221642674
1852,,,,,,,,,0,0,0.028945029089,0.767,0,,,0,,0,3.114,,0,,,0,0,,,,,,0,0,,0.023,,0,0,,,,,0,,,0,0,,0,,0,0,,0.091,,,,,,,,,0,,,,,,5.887,,0,,0,5.233,,,,,,0,,,,,,0.094,,,,,,,,,,,,0,,,,,0,,0,,,,,,0,,,0,,,,,,,,,,,,0,,,,,,,,1.027,,,,0,,,0.041,,,0,,,,,,,,1.127,,,,0,0,0,0,,0,0,,,0,,,,0,0,,,,0,0,,,,0.146,,,,,,,0.059,,,,0,,,,,,,,0,,,,0,,31.658738309,,7.312,,0,,,0,,,,,56.608683338,0,56.608683338,0,17.545,0,0,0,49.244738309,0,7.335,0.028945029089,0,0,7.1054273576e-15,56.608683338
1853,,,,,,,,,0,0,0.041572300176,0.88,0,,,0,,0,3.217,,0,,,0,0,,,,,,0,0,,0.028,,0,0,,,,,0,,,0,0,,0,,0,0,,0.098,,,,,,,,,0,,,,,,6.916,,0,,0,5.666,,,,,,0,,,,,,0.094,,,,,,,,,,,,0,,,,,0,,0,,,,,,0,,,0,,,,,,,,,,,,0,,,,,,,,1.138,,,,0,,,0.045,,,0,,,,,,,,1.178,,,,0,0,0,0,,0,0,,,0,,,,0,0,,,,0,0,,,,0.178,,,,,,,0.062,,,,0,,,,,,,,0,,,,0,,31.484189361,,8.232,,0,,,0,,,,,59.257761661,0,59.257761661,0,19.427,0,0,0,50.956189361,0,8.26,0.041572300176,0,0,0,59.257761661
1854,,,,,,,,,0,0,0.050089105735,0.867,0,,,0,,0,3.564,,0,,,0,0,,,,,,0,0,,0.034,,0,0,,,,,0,,,0,0,,0,,0,0,,0.125,,,,,,,,,0,,,,,,7.973,,0,,0,6.65,,,,,,0,,,,,,0.119,,,,,,,,,,,,0,,,,,0,,0,,,,,,0,,,0,,,,,,,,,,,,0,,,,,,,,1.623,,,,0,,,0.064,,,0,,,,,,,,1.304,,,,0,0,0,0,,0,0,,,0,,,,0,0,,,,0,0,,,,0.15,,,,,,,0.092,,,,0,,,,,,,,0,,,,0,,37.940033307,,9.05,,0,,,0,,,,,69.605122412,0,69.605122412,0,22.467,0,0,0,60.471033307,0,9.084,0.050089105735,0,0,0,69.605122412
1855,,,,,,,,,0.0002074841582,0,0.058863996312,1.01,0,,,0,,0.0026211294886,3.651,,0,,,0,0,,,,,,0,0,,0.041,,0,0,,,,,0,,,0,0,,0,,0,0,,0.124,,,,,,,,,0.00095020501556,,,,,,9.026,,0,,0.00038593009172,7.81,,,,,,0,,,,,,0.124,,,,,,,,,,,,0.0062425212698,,,,,0.00053917938656,,0.00062269848119,,,,,,0.0009744257179,,,0,,,,,,,,,,,,0,,,,,,,,1.269,,,,0,,,0.07,,,0,,,,,,,,1.534,,,,0,0.00096930506085,0,0,,0.057456825022,0,,,0,,,,0,0,,,,0,0,,,,0.151,,,,,,,0.086,,,,0.00030734301015,,,,,,,,0.00078687915382,,,,0.01824821094,,35.526570294,,10.415,,0.0024441325808,,,0,,,,,70.974686655,0.0145039042,70.897384495,0.091806064362,24.787547329,0,0.010913469651,0,60.463413093,0,10.456,0.058863996312,0,0,1.4210854715e-14,70.989190559
1856,,,,,,,,,0,0,0.081573760099,1.155,0,,,0,,0,3.606,,0,,,0,0,,,,,,0,0,,0.049,,0,0,,,,,0,,,0,0,,0,,0,0,,0.177,,,,,,,,,0,,,,,,9.452,,0,,0,8.44,,,,,,0,,,,,,0.13,,,,,,,,,,,,0,,,,,0,,0,,,,,,0,,,0,,,,,,,,,,,,0,,,,,,,,1.289,,,,0,,,0.083,,,0,,,,,,,,1.724,,,,0,0,0,0,,0,0,,,0,,,,0,0,,,,0,0,,,,0.206,,,,,,,0.13,,,,0,,,,,,,,0,,,,0,,38.231770594,,10.927,,0,,,0,,,,,75.681344354,0,75.681344354,0,26.309,0,0,0,64.623770594,0,10.976,0.081573760099,0,0,1.4210854715e-14,75.681344354
1857,,,,,,,,,0,0,0.090365827715,1.33,0,,,0,,0,3.754,,0,,,0,0,,,,,,0,0,,0.059,,0,0,,,,,0,,,0,0,,0,,0,0,,0.181,,,,,,,,,0,,,,,,9.629,,0,,0,8.99,,,,,,0,,,,,,0.149,,,,,,,,,,,,0,,,,,0,,0,,,,,,0,,,0,,,,,,,,,,,,0,,,,,,,,1.151,,,,0,,,0.083,,,0,,,,,,,,1.833,,,,0,0,0,0,0,0,0,,,0,,,,0,0,,,,0,0,,,,0.232,,,,,,,0.167,,,,0,,,,,,,,0,,,,0,,37.547293637,,11.205,,0,,,0,,,,,76.400659464,0,76.400659464,0,27.416,0,0,0,65.046293637,0,11.264,0.090365827715,0,0,0,76.400659464
1858,,,,,,,,,0.00029136073279,0,0.092926494863,1.977,0,,,0,,0.0036807350266,3.944,,0,,,0,0,,,,,,0,0,,0.072,,0,0,,,,,0,,,0,0,,0,,0,0,,0.134,,,,,,,,,0.0013343304474,,,,,,9.442,,0,,0.00054194438412,9.719,,,,,,0,,,,,,0.104,,0.10766592106,,,,,,,,,,0.0087660936981,,,,,0.00075714552155,,0.00087442765444,,,,,,0.0013683424975,,,0,,,,,,,,,,,,0,,,,,,,,1.012,,,,0,,,0.073,,,0,,,,,,,,2.103,,,,0,0.0013611517876,0,0,0.001,0.080684052159,0,,,0,,,,0,0,,,,0,0,,,,0.314,,,,,,,0.14,0.04,,,0.00043158805681,,,,,,,,0.0011049792373,,,,0.025625147278,,36.799521825,,11.367,,0.0034321861772,,,0,,,,,77.44433462,0.12803310568,77.334782651,0.23758507527,28.893577101,0,0.12299121886,0,65.917450012,0,11.439,0.092926494863,0,0,0,77.572367726
1859,,,,,,,,,0.00030901895902,0,0.1323546711,1.601,0,,,0,,0.0039038098767,4.066,,0,,,0,0,,,,,,0,0,,0.086,,0,0,,,,,0,,,0,0,,0,,0,0,,0.171,,,,,,,,,0.0014151989593,,,,,,9.55,,0,,0.00057478949831,9.227,,,,,,0,,,,,,0.21,,0.17371308271,,,,,,,,,,0.009297372104,,,,,0.00080303312891,,0.00092742326986,,,,,,0.0014512723458,,,0,,,,,,,,,,,,0,,,,,,,,0.962,,,,0,,,0.089,,,0,,,,,,,,1.941,,,,0,0.0014436458353,0,0,0.001,0.085573994714,0,,,0,,,,0,0,,,,0,0,,,,0.445,,,,,,,0.206,0.056,,,0.00045774490874,,,,,,,,0.0011719476759,,,,0.027178186506,,40.857789375,,12.369,,0.0036401974607,,,0,,,,,82.086690121,0.19531464216,81.970559245,0.311445519,28.383793895,0,0.18996718645,0,69.504682906,0,12.455,0.1323546711,0,0,0,82.282004764
