GtC yr,Column 1,Column 2,Column 3,Individual models,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Data-based products,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39,Column 40,Column 41,Column 42,Column 43,Column 44,Column 45,Column 46
year,GCB,,,NEMO3.6-PISCESv2-gas (CNRM),FESOM-2.1-REcoM3,NEMO-PISCES (IPSL),MOM6-COBALT (Princeton),MRI-ESM2-21,MICOM-HAMOCC (NorESM1-OCv1.2),NEMO-PlankTOM12,CESM-ETHZ,MPIOM-HAMOCC6,ACCESS (CSIRO),,Multi-model mean,Model Spread (sd),,CMEMS-LSCE-FFNN,JMA-MLR,LDEO-HPD,MPI-SOMFFN,NIES-ML3,OS_ETH_Gracer,Jena-MLS,UOEx-Watson,Average data-products (excl. Watson.),sd data-products (excl. Watson.),,,,,,,,,,,,,,,,,,,GCB
1959,0.99241980003,0.40000000000000002,,0.56959951923,1.0815975962,0.80223269231,0.32973557692,0.82696923077,1.0806538462,0.91202355769,1.0677211538,0.6533625,1.1743706731,,0.84982663462,0.26958446147,,,,0.783034,,,,0.69175042,,,,,,,,,,,,,,,,,,,,,,0.99241980003
1960,0.93651429179,0.40000000000000002,,0.44878385989,1.0619957875,0.68263056319,0.4612345467,0.89182983059,1.0597139423,0.76048461538,1.0508857601,0.63119077381,0.89046158425,,0.79392112637,0.23504885844,,,,0.77951038,,,,0.76102518,,,,,,,,,,,,,,,,,,,,,,0.93651429179
1961,0.83950878355,0.40000000000000002,,0.28596820055,0.93239397894,0.56102843407,0.31373351648,0.7536904304,0.98677403846,0.77394567308,0.7980503663,0.54101904762,1.0225524954,,0.69691561813,0.26317884806,,,,0.7426047,,,,0.5779393,,,,,,,,,,,,,,,,,,,,,,0.83950878355
1962,0.9236032753,0.40000000000000002,,0.40815254121,0.92379217033,0.58942630495,0.40623248626,0.82955103022,1.1568341346,0.74140673077,0.89421497253,0.62184732143,1.2386434066,,0.78101010989,0.28466682657,,,,0.77024602,,,,0.6436682,,,,,,,,,,,,,,,,,,,,,,0.9236032753
1963,1.1116977671,0.40000000000000002,,0.61833688187,1.0231903617,0.78782417582,0.60773145604,1.11741163,1.3398942308,0.98286778846,1.0113795788,0.78367559524,1.4187343178,,0.96910460165,0.27637006724,,,,1.0219409,,,,0.88781323,,,,,,,,,,,,,,,,,,,,,,1.1116977671
1964,1.2294922588,0.40000000000000002,,0.80752122253,1.3075885531,0.9522220467,0.81523042582,1.0142722299,1.4459543269,1.0013288462,1.149544185,0.95250386905,1.4228252289,,1.0868990934,0.23453216927,,,,1.11899313,,,,0.93347567,,,,,,,,,,,,,,,,,,,,,,1.2294922588
1965,1.3378867506,0.40000000000000002,,0.96670556319,1.2019867445,1.0366199176,0.8297293956,1.2281328297,1.6250144231,1.1027899038,1.3047087912,0.96833214286,1.6889161401,,1.1952935852,0.28137628969,,,,1.17042491,,,,1.03500938,,,,,,,,,,,,,,,,,,,,,,1.3378867506
1966,1.2683812423,0.40000000000000002,,0.92888990385,1.2283849359,0.93001778846,0.85322836538,1.1009934295,1.6290745192,0.87725096154,1.2328733974,0.91116041667,1.5660070513,,1.1257880769,0.28458889791,,,,1.09058589,,,,0.91315767,,,,,,,,,,,,,,,,,,,,,,1.2683812423
1967,1.1100757341,0.40000000000000002,,0.67107424451,1.1757831273,0.82441565934,0.66572733516,0.8268540293,1.4441346154,0.79471201923,1.0060380037,0.90898869048,1.3570979625,,0.96748256868,0.27412544001,,,,0.95767081,,,,0.74622195,,,,,,,,,,,,,,,,,,,,,,1.1100757341
